,Marca,Modelo,Descrição,Valor,embedding_musical,categoria_musical,specs_musicais
28,DATREL,AT 10.200 b,"Caixa Ativa 10"" 200W bluetooth",946.74,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 10 200 B || DESCRICAO_MUSICAL: CAIXA ATIVA 10 200W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
29,DATREL,KIT8-150BLU,"Caixa Ativa e Passiva 8"" 150 W bluetooth",995.72,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT8-150BLU || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 8 150 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
30,DATREL,SW 400,"Caixa Sub Woofer passivo 15"" 400 W ",1009.36,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: SW 400 || DESCRICAO_MUSICAL: CAIXA SUB WOOFER PASBVO 15 400 W,OUTROS,{}
31,DATREL,AT 12.250,"Caixa Ativa 12"" 250W ",1015.56,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 12 250 || DESCRICAO_MUSICAL: CAIXA ATIVA 12 250W,EQUIPAMENTO_CAIXA_SOM,{}
32,DATREL,BAS1X15,"Caixa Bass 1 AF 15 - 4 ohms 1x15"" 300 W ",1045.94,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS1X15 || ESPECIFICACOES_MUSICAIS: DIMENSAO_INSTRUMENTO: 1 15 || DESCRICAO_MUSICAL: CAIXA BASS 1 AF 15 - 4 OHMS 1X15 300 W,INSTRUMENTO_CORDA,"{'DIMENSAO_INSTRUMENTO': ['1', '15']}"
33,DATREL,DA 15.500,"Caixa Passiva 15"" 500 W ",1060.2,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: DA 15 500 || DESCRICAO_MUSICAL: CAIXA PASBVA 15 500 W,OUTROS,{}
34,DATREL,PA 8.000,AmplifiCador de potencia toca 4 AF 12” - 200W   ,1067.02,CATEGORIA_MUSICAL: EQUIPAMENTO_AMPLIFICACAO || CONTEXTO: equipamento som audio amplificador potencia || MARCA: DATDL || MODELO: PA 8 000 || DESCRICAO_MUSICAL: AMPLIFICACR DE POTENCIA TOCA 4 AF 12 - 200W,EQUIPAMENTO_AMPLIFICACAO,{}
35,DATREL,SWA 300,"Caixa Sub Woofer ativo 12"" 300 W ",1080.66,CATEGORIA_MUSICAL: OUTROS || CONTEXTO: produto musical || MARCA: DATDL || MODELO: SWA 300 || DESCRICAO_MUSICAL: CAIXA SUB WOOFER ATIVO 12 300 W,OUTROS,{}
36,DATREL,BAS200,"Cubo Baixo 12"" 12"" 200W ",1086.24,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS200 || DESCRICAO_MUSICAL: CUBO BAIXO 12 12 200W,INSTRUMENTO_CORDA,{}
37,DATREL,BAS400,Amplif. Baixo - 4 ohms  400 W ,1086.86,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS400 || DESCRICAO_MUSICAL: AMPLIF BAIXO - 4 OHMS 400 W,INSTRUMENTO_CORDA,{}
38,DATREL,AT 12.250 b,"Caixa Ativa 12"" 250W bluetooth",1088.72,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 12 250 B || DESCRICAO_MUSICAL: CAIXA ATIVA 12 250W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
39,DATREL,AT 15.300,"Caixa Ativa 15"" 300 W ",1174.28,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 15 300 || DESCRICAO_MUSICAL: CAIXA ATIVA 15 300 W,EQUIPAMENTO_CAIXA_SOM,{}
40,DATREL,MA 15.300,"Monitor ativo 15"" 300 W ",1187.3,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: MA 15 300 || DESCRICAO_MUSICAL: MONITOR ATIVO 15 300 W,EQUIPAMENTO_CAIXA_SOM,{}
41,DATREL,KIT10-200N,"Caixa Ativa e Passiva 10"" 200W ",1220.78,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200N || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 10 200W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
42,DATREL,AT10X2,"Caixa Ativa ( 4 ohms) 10"" 300W bluetooth",1228.22,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT10X2 || DESCRICAO_MUSICAL: CAIXA ATIVA ( 4 OHMS) 10 300W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
43,DATREL,KIT10-200MON,"Monitor ativo e passivo 10"" 200W ",1235.04,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200MON || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: MONITOR ATIVO E PASBVO 10 200W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
44,DATREL,PA 10.000,Amplificador de potenciatoca 4 AF 15” - 250W   ,1248.68,CATEGORIA_MUSICAL: EQUIPAMENTO_AMPLIFICACAO || CONTEXTO: equipamento som audio amplificador potencia || MARCA: DATDL || MODELO: PA 10 000 || DESCRICAO_MUSICAL: AMPLIFICACR DE POTENCIATOCA 4 AF 15 - 250W,EQUIPAMENTO_AMPLIFICACAO,{}
45,DATREL,KIT10-200BLU,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200BLU || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 10 200W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
46,DATREL,KIT10-200TBL,"Caixa Ativa e Passiva 10"" 200W bluetooth",1277.2,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200TBL || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 10 200W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
47,DATREL,AT 15.300 b,"Caixa Ativa 15"" 300 W bluetooth",1292.7,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 15 300 B || DESCRICAO_MUSICAL: CAIXA ATIVA 15 300 W BLUETOOTH,EQUIPAMENTO_CAIXA_SOM,{}
48,DATREL,BAS800,Amplif. Baixo - 2X8 ohms  800 W ,1324.32,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS800 || ESPECIFICACOES_MUSICAIS: DIMENSAO_INSTRUMENTO: 8 2 || DESCRICAO_MUSICAL: AMPLIF BAIXO - 2X8 OHMS 800 W,INSTRUMENTO_CORDA,"{'DIMENSAO_INSTRUMENTO': ['8', '2']}"
49,DATREL,KIT10-200NT,"Caixa Ativa e Passiva 10"" 200W ",1369.58,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200NT || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 10 200W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
50,DATREL,KIT10-200MT,"Monitor ativo e passivo 10"" 200W ",1379.5,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT10-200MT || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: MONITOR ATIVO E PASBVO 10 200W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
51,DATREL,BAS300,"Cubo  de Baixo 15"" 15"" 300W ",1422.9,CATEGORIA_MUSICAL: INSTRUMENTO_CORDA || CONTEXTO: instrumento musical corda orquestra camerata || MARCA: DATDL || MODELO: BAS300 || DESCRICAO_MUSICAL: CUBO DE BAIXO 15 15 300W,INSTRUMENTO_CORDA,{}
52,DATREL,KIT12-250N,"Caixa Ativa e Passiva 12"" 250 W ",1509.7,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250N || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: CAIXA ATIVA E PASBVA 12 250 W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
53,DATREL,AT 15.500,"Caixa Ativa 15"" 500 W ",1527.06,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: AT 15 500 || DESCRICAO_MUSICAL: CAIXA ATIVA 15 500 W,EQUIPAMENTO_CAIXA_SOM,{}
54,DATREL,KIT12-250MON,"Monitor ativo e passivo 12"" 250W ",1528.3,CATEGORIA_MUSICAL: EQUIPAMENTO_CAIXA_SOM || CONTEXTO: equipamento som audio caixa speaker || MARCA: DATDL || MODELO: KIT12-250MON || ESPECIFICACOES_MUSICAIS: AFINACAO: E || DESCRICAO_MUSICAL: MONITOR ATIVO E PASBVO 12 250W,EQUIPAMENTO_CAIXA_SOM,{'AFINACAO': ['E']}
